state,vote,name,party,Bill
GA,0,austin scott,R,Remove Troops from Yemen
IL,0,adam kinzinger,R,Remove Troops from Yemen
MI,0,bill huizenga,R,Remove Troops from Yemen
OH,0,bill johnson,R,Remove Troops from Yemen
OH,0,steve stivers,R,Remove Troops from Yemen
OH,0,bob gibbs,R,Remove Troops from Yemen
SC,0,jeff duncan,R,Remove Troops from Yemen
WI,0,sean duffy,R,Remove Troops from Yemen
OR,1,suzanne bonamici,D,Remove Troops from Yemen
KY,1,thomas massie,R,Remove Troops from Yemen
CA,1,jared huffman,D,Remove Troops from Yemen
CA,1,eric swalwell,D,Remove Troops from Yemen
CA,1,mark takano,D,Remove Troops from Yemen
CA,1,alan lowenthal,D,Remove Troops from Yemen
CA,1,juan vargas,D,Remove Troops from Yemen
CA,1,scott peters,D,Remove Troops from Yemen
FL,0,ted yoho,R,Remove Troops from Yemen
GA,0,doug collins,R,Remove Troops from Yemen
HI,1,tulsi gabbard,D,Remove Troops from Yemen
IL,1,cheri bustos,D,Remove Troops from Yemen
NC,1,mark meadows,R,Remove Troops from Yemen
NY,1,grace meng,D,Remove Troops from Yemen
NY,1,hakeem jeffries,D,Remove Troops from Yemen
NY,1,sean maloney,D,Remove Troops from Yemen
TX,1,joaquin castro,D,Remove Troops from Yemen
TX,1,marc veasey,D,Remove Troops from Yemen
WA,1,derek kilmer,D,Remove Troops from Yemen
WI,1,mark pocan,D,Remove Troops from Yemen
IL,1,robin kelly,D,Remove Troops from Yemen
MO,0,jason smith,R,Remove Troops from Yemen
MA,-1,katherine clark,D,Remove Troops from Yemen
AZ,1,ruben gallego,D,Remove Troops from Yemen
CA,1,ted lieu,D,Remove Troops from Yemen
GA,0,barry loudermilk,R,Remove Troops from Yemen
MA,1,seth moulton,D,Remove Troops from Yemen
MI,1,brenda lawrence,D,Remove Troops from Yemen
NY,0,lee zeldin,R,Remove Troops from Yemen
NY,0,elise stefanik,R,Remove Troops from Yemen
TX,0,john ratcliffe,R,Remove Troops from Yemen
TX,0,will hurd,R,Remove Troops from Yemen
TX,0,brian babin,R,Remove Troops from Yemen
WA,0,dan newhouse,R,Remove Troops from Yemen
CA,1,ro khanna,D,Remove Troops from Yemen
FL,1,matt gaetz,R,Remove Troops from Yemen
FL,1,stephanie murphy,D,Remove Troops from Yemen
FL,1,val demings,D,Remove Troops from Yemen
NE,0,don bacon,R,Remove Troops from Yemen
WA,1,pramila jayapal,D,Remove Troops from Yemen
UT,0,john curtis,R,Remove Troops from Yemen
GA,1,lucy mcbath,D,Remove Troops from Yemen
MI,1,rashida tlaib,D,Remove Troops from Yemen
MN,1,ilhan omar,D,Remove Troops from Yemen
NY,1,alexandria ocasio-cortez,D,Remove Troops from Yemen
TN,0,mark green,R,Remove Troops from Yemen
TX,1,chip roy,R,Remove Troops from Yemen
OR,1,earl blumenauer,D,Save the Internet
TX,0,kevin brady,R,Save the Internet
MD,1,elijah cummings,D,Save the Internet
CO,1,diana degette,D,Save the Internet
FL,0,mario diaz-balart,R,Save the Internet
TX,0,kay granger,R,Save the Internet
MD,1,steny hoyer,D,Save the Internet
OH,1,marcy kaptur,D,Save the Internet
IA,0,steve king,R,Save the Internet
GA,1,john lewis,D,Save the Internet
MA,1,richard neal,D,Save the Internet
CA,0,devin nunes,R,Save the Internet
CA,1,nancy pelosi,D,Save the Internet
CA,1,lucille roybal-allard,D,Save the Internet
OH,1,tim ryan,D,Save the Internet
CA,1,adam schiff,D,Save the Internet
IL,0,john shimkus,R,Save the Internet
CA,1,maxine waters,D,Save the Internet
FL,1,debbie wasserman schultz,D,Save the Internet
TX,0,michael mccaul,R,Save the Internet
CA,0,kevin mccarthy,R,Save the Internet
FL,1,kathy castor,D,Save the Internet
KY,1,john yarmuth,D,Save the Internet
NE,0,adrian smith,R,Save the Internet
OH,0,jim jordan,R,Save the Internet
VT,-1,peter welch,D,Save the Internet
IL,1,bill foster,D,Save the Internet
CA,1,jackie speier,D,Save the Internet
LA,0,steve scalise,R,Save the Internet
TX,-1,pete olson,R,Save the Internet
GA,0,tom graves,R,Save the Internet
AL,0,mo brooks,R,Save the Internet
AL,1,terri sewell,D,Save the Internet
AZ,0,paul gosar,R,Save the Internet
CA,1,karen bass,D,Save the Internet
CO,0,scott tipton,R,Save the Internet
FL,0,daniel webster,R,Save the Internet
GA,0,austin scott,R,Save the Internet
IL,0,adam kinzinger,R,Save the Internet
MI,0,bill huizenga,R,Save the Internet
OH,0,bill johnson,R,Save the Internet
OH,0,steve stivers,R,Save the Internet
OH,0,bob gibbs,R,Save the Internet
SC,0,jeff duncan,R,Save the Internet
WI,0,sean duffy,R,Save the Internet
OR,1,suzanne bonamici,D,Save the Internet
KY,0,thomas massie,R,Save the Internet
CA,1,jared huffman,D,Save the Internet
CA,1,eric swalwell,D,Save the Internet
CA,1,mark takano,D,Save the Internet
CA,1,alan lowenthal,D,Save the Internet
CA,1,juan vargas,D,Save the Internet
CA,1,scott peters,D,Save the Internet
FL,0,ted yoho,R,Save the Internet
GA,0,doug collins,R,Save the Internet
HI,1,tulsi gabbard,D,Save the Internet
IL,1,cheri bustos,D,Save the Internet
NC,0,mark meadows,R,Save the Internet
NY,1,grace meng,D,Save the Internet
NY,1,hakeem jeffries,D,Save the Internet
NY,1,sean maloney,D,Save the Internet
TX,1,joaquin castro,D,Save the Internet
TX,1,marc veasey,D,Save the Internet
WA,1,derek kilmer,D,Save the Internet
WI,1,mark pocan,D,Save the Internet
IL,1,robin kelly,D,Save the Internet
MO,0,jason smith,R,Save the Internet
MA,1,katherine clark,D,Save the Internet
AZ,1,ruben gallego,D,Save the Internet
CA,1,ted lieu,D,Save the Internet
GA,0,barry loudermilk,R,Save the Internet
MA,1,seth moulton,D,Save the Internet
MI,1,brenda lawrence,D,Save the Internet
NY,0,lee zeldin,R,Save the Internet
NY,0,elise stefanik,R,Save the Internet
TX,0,john ratcliffe,R,Save the Internet
TX,0,will hurd,R,Save the Internet
TX,-1,brian babin,R,Save the Internet
WA,0,dan newhouse,R,Save the Internet
CA,1,ro khanna,D,Save the Internet
FL,0,matt gaetz,R,Save the Internet
FL,1,stephanie murphy,D,Save the Internet
FL,1,val demings,D,Save the Internet
NE,0,don bacon,R,Save the Internet
WA,1,pramila jayapal,D,Save the Internet
UT,0,john curtis,R,Save the Internet
GA,1,lucy mcbath,D,Save the Internet
MI,1,rashida tlaib,D,Save the Internet
MN,1,ilhan omar,D,Save the Internet
NY,1,alexandria ocasio-cortez,D,Save the Internet
TN,0,mark green,R,Save the Internet
TX,0,chip roy,R,Save the Internet
